0	产品发生变更调整的时候，福利变化/提升和昂贵医院的调整会影响到我的保单吗？
1	新版精选个人、经典个人增加了京津地区版本，福利保障一致，费率略高，如果我投保时选的非京津地区版本，但实际门诊就诊多数是在北京、天津地区，请问后续会产生哪些影响？
2	购买你们的保险是否对于职业类型有限制？
3	你们的预约电话是？我每次去医院看病都需要提前预约吗？除了给你们打电话之外，我可以直接拨打医院电话自行预约吗？
4	由曜影提供的视频健康咨询服务能否开具药物，如何开药？
5	我如果使用线上的视频健康咨询服务的话，能否开药，以及如何开药？
6	如果我以前患过重症，还可以买你们的产品吗？
7	住院直付服务和住院垫付服务有什么区别？
8	你们住院直付服务和住院垫付服务都是什么意思？有什么区别？
9	我如果不是中国国籍的话，还可以买你们的产品吗？
10	目前如果正在怀孕，可以购买你们的产品吗？
11	你们的心理援助服务该如何使用？有次数限制吗？会占用我的理赔和保险额度吗？可以开具处方药吗？
12	我家孩子还没有成年，可以单独投保你们的产品吗？
13	如果我同时购买了你们MSH的产品和其他保险公司的医疗保险产品，产生的理赔费用是否可以重复理赔？如果不能重复给我理赔，我应该如何申请理赔呢？
14	不在你们MSH直接付费医院网络列表内的医院，你们是否给我理赔呢？
15	你们MSH客服/热线电话是？我会有专属的客服经理吗？
16	你们的保险产品是否都含住院门诊的直接付费服务？直接付费服务具体是指什么意思？是说我产生的所有医疗费用都可以得到报销的意思吗？
17	你们MSH服务APP或微信公众号的用户名和密码是多少？
18	精选、经典都京津地区版和非京津地区版两个版本，如我住在北京、天津地区，但我的孩子住在非京津地区？我应该如何投保呢？
19	精选个人和经典个人的区别是什么，哪个更好一点？
20	如果我为我的孩子投保了经典个人方案涵盖0-7岁附属子女的疫苗责任，产生的疫苗费用是否可以走直接付费？购买了疫苗套餐，是否可以一次性赔付？另外是仅赔付疫苗费用吗？是否涵盖打疫苗产生的医生费呢？
21	我如果想要续保，是否还需要填写纸质续保申请呢？保费是自动扣款的形式吗？
22	如果购买了你们的生育套餐的话，具体理赔流程是什么样子的？
23	2024版精选和经典是不是同一个保单同一个保单同一个保单同一个保单同一个保单同一个保单同一个保单内被保险人选项不一致也可以享有家庭折扣？
24	如果我投保后经典个人后发生了流产，是否可以赔付呢？
25	公立医院护工津贴福利是否也适用于公立特需、VIP或者国际部呢？
26	你们产品里的牙科和体检福利可以单独购买吗？一个家庭中的被保险人是否可以分开选择牙科和体检福利？
27	欣享人生的就医涵盖范围是否包括私立医院？指定私立医院是什么意思？
28	欣享人生与百万医疗或中端医疗的区别是什么，哪个更好？
29	你们的产品费率有效期多久？每年会涨价或者变动吗？
30	公立互联网医院问诊在使用上有什么限制吗？
31	我在投保的时候是不是用体检报告或者医保病历来替代健康告知进行核保和投保？
32	精选个人投保的时候大人小孩可以选择不同的方案是吗？
33	欣享人生涵盖外购药吗？精选个人和经典个人也涵盖外购药吗？
34	你们MSH的不同产品间的核保都是什么样的？
